31	28	
11	20	20	20	20	20	20	20	20	20	20	20	20	12	11	20	20	20	20	20	20	20	20	20	20	20	20	12
19	1	1	1	1	1	1	1	1	1	1	1	1	19	19	1	1	1	1	1	1	1	1	1	1	1	1	19
19	1	11	20	20	12	1	11	20	20	20	12	1	19	19	1	11	20	20	20	12	1	11	20	20	12	1	19
19	2	19	0	0	19	1	19	0	0	0	19	1	19	19	1	19	0	0	0	19	1	19	0	0	19	2	19
19	1	14	20	20	13	1	14	20	20	20	13	1	14	13	1	14	20	20	20	13	1	14	20	20	13	1	19
19	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	19
19	1	11	20	20	12	1	11	12	1	11	20	20	20	20	20	20	12	1	11	12	1	11	20	20	12	1	19
19	1	14	20	20	13	1	19	19	1	14	20	20	12	11	20	20	13	1	19	19	1	14	20	20	13	1	19
19	1	1	1	1	1	1	19	19	1	1	1	1	19	19	1	1	1	1	19	19	1	1	1	1	1	1	19
14	20	20	20	20	12	1	19	14	20	20	12	0	19	19	0	11	20	20	13	19	1	11	20	20	20	20	13
0	0	0	0	0	19	1	19	11	20	20	13	0	14	13	0	14	20	20	12	19	1	19	0	0	0	0	0
0	0	0	0	0	19	1	19	19	0	0	0	0	0	0	0	0	0	0	19	19	1	19	0	0	0	0	0
0	0	0	0	0	19	1	19	19	0	11	20	12	0	0	11	20	12	0	19	19	1	19	0	0	0	0	0
11	20	20	20	20	13	1	14	13	0	19	11	13	0	0	14	12	19	0	14	13	1	14	20	20	20	20	12
19	0	0	0	0	0	1	0	0	0	19	19	0	0	0	0	19	19	0	0	0	1	0	0	0	0	0	19
14	20	20	20	20	12	1	11	12	0	19	14	20	20	20	20	13	19	0	11	12	1	11	20	20	20	20	13
0	0	0	0	0	19	1	19	19	0	14	20	20	20	20	20	20	13	0	19	19	1	19	0	0	0	0	0
0	0	0	0	0	19	1	19	19	0	0	0	0	0	0	0	0	0	0	19	19	1	19	0	0	0	0	0
0	0	0	0	0	19	1	19	19	0	11	20	20	20	20	20	20	12	0	19	19	1	19	0	0	0	0	0
11	20	20	20	20	13	1	14	13	0	14	20	20	12	11	20	20	13	0	14	13	1	14	20	20	20	20	12
19	1	1	1	1	1	1	1	1	1	1	1	1	19	19	1	1	1	1	1	1	1	1	1	1	1	1	19
19	1	11	20	20	12	1	11	20	20	20	12	1	19	19	1	11	20	20	20	12	1	11	20	20	12	1	19
19	1	14	20	12	19	1	14	20	20	20	13	1	14	13	1	14	20	20	20	13	1	19	11	20	13	1	19
19	2	1	1	19	19	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	19	19	1	1	2	19
14	20	12	1	19	19	1	11	12	1	11	20	20	20	20	20	20	12	1	11	12	1	19	19	1	11	20	13
11	20	13	1	14	13	1	19	19	1	14	20	20	12	11	20	20	13	1	19	19	1	14	13	1	14	20	12
19	1	1	1	1	1	1	19	19	1	1	1	1	19	19	1	1	1	1	19	19	1	1	1	1	1	1	19
19	1	11	20	20	20	20	13	14	20	20	12	1	19	19	1	11	20	20	13	14	20	20	20	20	12	1	19
19	1	14	20	20	20	20	20	20	20	20	13	1	14	13	1	14	20	20	20	20	20	20	20	20	13	1	19
19	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	19
14	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	13
